Alias;Type;Experiment;Geometry;Parent;Species;Variety;ExperimentModalities;Repetition
60/DZ_PG_32/ZM4352/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973379145 43.61291995, 3.973409394 43.61290135, 3.973457394 43.61294256, 3.973427145 43.61296116, 3.973379145 43.61291995));;Maize;iPG155;WW;1
61/DZ_PG_31/ZM4347/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973409394 43.61290135, 3.973439643 43.61288275, 3.973487644 43.61292396, 3.973457394 43.61294256, 3.973409394 43.61290135));;Maize;iPG153;WW;1
62/DZ_PG_63/ZM4392/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973439643 43.61288275, 3.973469892 43.61286415, 3.973517893 43.61290535, 3.973487644 43.61292396, 3.973439643 43.61288275));;Maize;iPG304;WW;1
63/DZ_PG_06/ZM4376/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973469892 43.61286415, 3.973500142 43.61284555, 3.973548142 43.61288675, 3.973517893 43.61290535, 3.973469892 43.61286415));;Maize;iPG029;WW;1
64/DZ_PG_67/ZM4394/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973500142 43.61284555, 3.973530391 43.61282694, 3.973578391 43.61286815, 3.973548142 43.61288675, 3.973500142 43.61284555));;Maize;iPG310;WW;1
65/DZ_PG_46/ZM4374/WW/1/DIA2017-05-19;Plot;;Polygon ((3.973530391 43.61282694, 3.97356064 43.61280834, 3.97360864 43.61284955, 3.973578391 43.61286815, 3.973530391 43.61282694));;Maize;iPG195;WW;1
66/DZ_PG_26/ZM4387/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973813165 43.61293598, 3.973843415 43.61291738, 3.973891412 43.61295859, 3.973861162 43.61297719, 3.973813165 43.61293598));;Maize;iPG138;WW;2
67/DZ_PG_55/ZM4355/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973843415 43.61291738, 3.973873665 43.61289878, 3.973921663 43.61293999, 3.973891412 43.61295859, 3.973843415 43.61291738));;Maize;iPG146;WW;2
68/DZ_PG_03/ZM4377/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973873665 43.61289878, 3.973903916 43.61288018, 3.973951913 43.61292139, 3.973921663 43.61293999, 3.973873665 43.61289878));;Maize;iPG017;WW;2
69/DZ_PG_32/ZM4352/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973903916 43.61288018, 3.973934166 43.61286158, 3.973982164 43.61290279, 3.973951913 43.61292139, 3.973903916 43.61288018));;Maize;iPG155;WW;2
70/DZ_PG_43/ZM4380/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973934166 43.61286158, 3.973964417 43.61284298, 3.974012414 43.61288419, 3.973982164 43.61290279, 3.973934166 43.61286158));;Maize;iPG188;WW;2
71/DZ_PG_12/ZM1304_lot1/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973964417 43.61284298, 3.973994667 43.61282438, 3.974042665 43.61286559, 3.974012414 43.61288419, 3.973964417 43.61284298));;Maize;iPG082;WW;2
72/DZ_PG_39/ZM4371/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973994667 43.61282438, 3.974024917 43.61280578, 3.974072915 43.61284699, 3.974042665 43.61286559, 3.973994667 43.61282438));;Maize;iPG173;WW;2
73/DZ_PG_17/ZM4348/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974024917 43.61280578, 3.974055168 43.61278718, 3.974103165 43.61282839, 3.974072915 43.61284699, 3.974024917 43.61280578));;Maize;iPG110;WW;2
74/DZ_PG_20/ZM4344/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974055168 43.61278718, 3.974085418 43.61276858, 3.974133415 43.61280979, 3.974103165 43.61282839, 3.974055168 43.61278718));;Maize;iPG119;WW;2
75/DZ_PG_69/ZM4396/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974085418 43.61276858, 3.974115668 43.61274998, 3.974163666 43.61279119, 3.974133415 43.61280979, 3.974085418 43.61276858));;Maize;iPG312;WW;2
76/DZ_PG_31/ZM4347/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974115668 43.61274998, 3.974145919 43.61273138, 3.974193916 43.6127726, 3.974163666 43.61279119, 3.974115668 43.61274998));;Maize;iPG153;WW;2
77/DZ_PG_37/ZM4364/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974145919 43.61273138, 3.974176169 43.61271279, 3.974224166 43.612754, 3.974193916 43.6127726, 3.974145919 43.61273138));;Maize;iPG167;WW;2
78/DZ_PG_40/ZM4390/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974176169 43.61271279, 3.974206419 43.61269419, 3.974254417 43.6127354, 3.974224166 43.612754, 3.974176169 43.61271279));;Maize;iPG176;WW;2
79/DZ_PG_50/ZM4363/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974128171 43.61267157, 3.974158422 43.61265298, 3.974206419 43.61269419, 3.974176169 43.61271279, 3.974128171 43.61267157));;Maize;iPG233;WW;2
80/DZ_PG_68/ZM4395/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974097921 43.61269017, 3.974128171 43.61267157, 3.974176169 43.61271279, 3.974145919 43.61273138, 3.974097921 43.61269017));;Maize;iPG311;WW;2
81/DZ_PG_10/ZM4365/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974067671 43.61270877, 3.974097921 43.61269017, 3.974145919 43.61273138, 3.974115668 43.61274998, 3.974067671 43.61270877));;Maize;iPG073;WW;2
82/DZ_PG_54/ZM4346/WW/2/DIA2017-05-19;Plot;;Polygon ((3.974037421 43.61272737, 3.974067671 43.61270877, 3.974115668 43.61274998, 3.974085418 43.61276858, 3.974037421 43.61272737));;Maize;iPG116;WW;2
83/DZ_PG_36/ZM4372/WW/2/DIA2017-05-19;Plot;;Polygon ((3.97400717 43.61274597, 3.974037421 43.61272737, 3.974085418 43.61276858, 3.974055168 43.61278718, 3.97400717 43.61274597));;Maize;iPG165;WW;2
